,mean,std,min,max
dhttemp,31.421621621621618,0.7004503056110624,30.0,32.0
dhthumd,42.17837837837839,2.8082354221443375,33.2,46.4
bmptemp,30.257297297297296,0.6490191259322221,29.159999999999997,31.5
bmppres,99960.9081081081,41.56848685120751,99902.0,100036.0
