Time,Humidity,Temperature,BMP_temperature,Pressure
00:00:00,45.350,28.850,27.245,100752.100
00:10:00,46.050,28.600,27.060,100750.000
00:20:00,44.684,29.000,26.963,100747.526
00:30:00,45.263,28.947,26.816,100750.316
00:40:00,46.550,28.400,26.765,100741.300
00:50:00,46.105,28.000,26.695,100740.947
01:00:00,46.950,28.000,26.600,100732.500
01:10:00,46.579,28.000,26.600,100723.263
01:20:00,46.300,28.000,26.600,100711.300
01:30:00,46.421,28.000,26.542,100702.368
01:40:00,46.368,28.000,26.500,100696.368
01:50:00,46.650,28.000,26.445,100690.900
02:00:00,46.526,28.000,26.400,100679.947
02:10:00,46.474,28.000,26.384,100670.263
02:20:00,46.700,28.000,26.340,100665.250
02:30:00,46.579,28.000,26.300,100665.263
02:40:00,46.650,28.000,26.300,100663.400
02:50:00,46.842,28.000,26.268,100666.526
03:00:00,46.750,28.000,26.200,100665.300
03:10:00,46.368,28.000,26.195,100662.895
03:20:00,47.000,28.000,26.132,100662.842
03:30:00,46.650,28.000,26.100,100669.650
03:40:00,46.632,28.000,26.100,100666.474
03:50:00,46.450,28.000,26.020,100670.250
04:00:00,46.737,27.947,26.000,100664.421
04:10:00,46.526,27.526,25.932,100657.895
04:20:00,46.400,27.450,25.900,100657.800
04:30:00,46.842,27.158,25.900,100657.263
04:40:00,46.900,27.000,25.890,100658.850
04:50:00,46.789,27.000,25.800,100659.421
05:00:00,47.000,27.053,25.784,100667.947
05:10:00,46.750,27.000,25.705,100675.400
05:20:00,46.789,27.000,25.700,100685.947
05:30:00,46.550,27.000,25.635,100696.900
05:40:00,46.474,27.053,25.600,100712.526
05:50:00,46.632,27.000,25.563,100721.789
06:00:00,46.650,27.000,25.505,100736.900
06:10:00,46.842,27.000,25.500,100746.105
06:20:00,46.579,27.000,25.489,100755.053
06:30:00,46.500,27.000,25.425,100775.400
06:40:00,46.579,27.000,25.400,100795.368
06:50:00,46.632,27.000,25.374,100808.211
07:00:00,46.300,27.000,25.340,100820.700
07:10:00,46.737,27.000,25.300,100823.158
07:20:00,46.800,27.000,25.300,100828.600
07:30:00,46.789,27.000,25.300,100835.368
07:40:00,46.737,27.000,25.300,100842.632
07:50:00,46.500,27.000,25.310,100847.350
08:00:00,46.895,27.000,25.342,100853.368
08:10:00,46.789,27.000,25.432,100855.842
08:20:00,46.900,27.000,25.605,100861.600
08:30:00,46.789,27.000,25.726,100875.526
08:40:00,47.500,27.000,25.705,100884.550
08:50:00,47.632,27.000,25.695,100894.684
09:00:00,47.900,27.000,25.700,100892.750
09:10:00,47.579,27.000,25.800,100894.368
09:20:00,60.600,26.400,24.625,100913.100
09:30:00,61.947,26.684,24.763,100916.263
09:40:00,59.900,27.000,25.440,100902.200
09:50:00,59.789,27.000,25.795,100885.368
10:00:00,59.421,27.000,25.958,100867.684
10:10:00,59.250,27.000,26.090,100848.800
10:20:00,58.947,27.000,26.179,100832.105
10:30:00,58.684,27.053,26.274,100817.421
10:40:00,58.850,27.100,26.395,100798.450
10:50:00,58.842,27.895,26.532,100786.263
11:00:00,51.250,27.900,27.310,100766.050
11:10:00,47.421,28.000,27.779,100743.211
11:20:00,45.850,28.000,27.905,100735.050
11:30:00,44.000,28.000,27.879,100716.895
11:40:00,44.211,28.053,27.863,100697.211
11:50:00,45.158,28.053,27.626,100688.000
12:00:00,46.550,28.000,27.485,100674.150
12:10:00,46.789,28.000,27.479,100662.737
12:20:00,46.600,28.200,27.530,100646.750
12:30:00,46.474,28.368,27.632,100628.053
12:40:00,46.158,28.474,27.695,100610.842
12:50:00,46.350,28.750,27.660,100602.900
13:00:00,46.474,28.895,27.689,100595.632
13:10:00,46.579,28.895,27.763,100579.053
13:20:00,46.200,29.000,27.725,100566.900
13:30:00,48.579,28.105,27.742,100556.368
13:40:00,49.400,28.800,27.895,100546.050
13:50:00,51.158,29.000,28.100,100534.579
14:00:00,50.947,29.000,28.205,100525.211
14:10:00,50.150,29.000,28.300,100524.200
14:20:00,50.263,29.421,28.389,100523.421
14:30:00,51.300,29.400,28.410,100519.850
14:40:00,51.526,29.684,28.447,100519.263
14:50:00,52.150,29.950,28.500,100509.350
15:00:00,50.263,30.000,28.511,100509.579
15:10:00,48.842,30.000,28.621,100516.684
15:20:00,49.200,30.000,28.635,100518.250
15:30:00,48.842,30.000,28.647,100516.000
15:40:00,47.000,30.000,28.679,100521.895
15:50:00,46.526,30.000,28.700,100530.105
16:00:00,49.400,30.000,28.700,100538.000
16:10:00,48.474,30.000,28.595,100538.895
16:20:00,49.263,30.000,28.663,100546.737
16:30:00,47.450,30.000,28.485,100553.200
16:40:00,46.579,30.000,28.547,100565.000
16:50:00,49.150,30.000,28.620,100573.050
17:00:00,49.474,30.000,28.626,100574.105
17:10:00,48.000,30.000,28.521,100578.053
17:20:00,45.150,30.000,28.480,100592.200
17:30:00,46.632,30.000,28.600,100614.632
17:40:00,49.316,30.000,28.616,100629.895
17:50:00,49.421,30.000,28.632,100644.526
18:00:00,50.100,30.000,28.610,100656.050
18:10:00,49.421,30.000,28.632,100662.842
18:20:00,49.105,30.000,28.616,100671.421
18:30:00,49.200,30.000,28.615,100686.850
18:40:00,48.000,30.000,28.553,100705.789
18:50:00,47.200,30.000,28.575,100718.950
19:00:00,47.684,29.947,28.568,100730.737
19:10:00,47.368,30.000,28.568,100743.053
19:20:00,46.211,30.000,28.484,100745.684
19:30:00,46.579,30.000,28.363,100760.000
19:40:00,45.900,30.000,28.155,100775.650
19:50:00,45.684,30.000,28.089,100792.474
20:00:00,46.000,30.000,28.035,100806.250
20:10:00,45.737,30.000,28.000,100812.316
20:20:00,45.750,30.000,27.920,100816.750
20:30:00,45.000,30.000,27.832,100822.842
20:40:00,44.900,29.700,27.845,100830.400
20:50:00,44.474,29.316,27.800,100835.842
21:00:00,44.700,29.050,27.760,100853.400
21:10:00,44.579,29.000,27.700,100869.000
21:20:00,44.650,29.050,27.630,100870.100
21:30:00,44.474,29.000,27.600,100872.105
21:40:00,44.632,29.000,27.558,100873.158
21:50:00,44.300,29.000,27.500,100878.950
22:00:00,44.211,29.000,27.500,100874.053
22:10:00,44.474,29.000,27.416,100864.895
22:20:00,44.650,29.000,27.400,100864.300
22:30:00,44.789,29.000,27.400,100852.211
22:40:00,44.263,28.947,27.374,100861.105
22:50:00,45.050,28.800,27.300,100866.300
23:00:00,44.737,28.684,27.300,100864.789
23:10:00,45.200,28.350,27.300,100871.200
23:20:00,45.263,28.158,27.253,100870.000
23:30:00,44.947,28.158,27.205,100862.421
23:40:00,45.950,28.000,27.200,100853.550
23:50:00,45.778,28.000,27.200,100853.500
