Time,Humidity,Temperature,BMP_temperature,Pressure
00:00:00,84.050,28.950,27.635,100298.850
00:10:00,84.500,28.500,27.575,100295.300
00:20:00,84.263,28.737,27.547,100295.053
00:30:00,84.500,28.500,27.510,100282.650
00:40:00,84.474,28.526,27.458,100270.684
00:50:00,84.700,28.300,27.410,100264.150
01:00:00,84.632,28.368,27.400,100253.211
01:10:00,84.850,28.150,27.380,100249.350
01:20:00,84.684,28.316,27.358,100246.158
01:30:00,85.000,28.000,27.360,100246.600
01:40:00,85.000,28.000,27.300,100243.105
01:50:00,84.900,28.050,27.210,100243.900
02:00:00,84.947,28.053,27.200,100242.368
02:10:00,85.000,28.000,27.180,100228.150
02:20:00,85.000,28.000,27.100,100220.474
02:30:00,85.000,28.000,27.095,100218.158
02:40:00,85.000,28.000,27.040,100220.750
02:50:00,85.000,28.000,27.000,100227.650
03:00:00,85.000,28.000,27.000,100224.316
03:10:00,85.000,28.000,27.000,100223.737
03:20:00,85.000,28.000,27.000,100220.150
03:30:00,85.000,28.000,26.916,100213.789
03:40:00,85.000,28.000,26.900,100220.850
03:50:00,85.000,28.000,26.858,100225.947
04:00:00,85.000,28.000,26.800,100231.900
04:10:00,85.000,28.000,26.795,100235.526
04:20:00,85.000,28.000,26.700,100238.100
04:30:00,85.000,28.000,26.700,100246.368
04:40:00,85.000,28.000,26.695,100247.550
04:50:00,85.000,28.000,26.647,100250.526
05:00:00,85.000,28.000,26.600,100252.450
05:10:00,85.000,28.000,26.595,100268.526
05:20:00,85.000,28.000,26.500,100274.350
05:30:00,85.000,28.000,26.416,100286.368
05:40:00,85.000,28.000,26.370,100298.100
05:50:00,85.000,28.000,26.300,100312.211
06:00:00,85.000,28.000,26.290,100316.900
06:10:00,85.000,28.000,26.247,100330.895
06:20:00,85.000,28.000,26.200,100343.579
06:30:00,85.000,27.900,26.200,100347.350
06:40:00,85.000,27.263,26.289,100350.684
06:50:00,85.100,27.000,26.475,100360.400
07:00:00,85.105,27.421,26.621,100362.579
07:10:00,85.100,27.500,26.660,100372.250
07:20:00,85.316,27.895,26.732,100389.316
07:30:00,85.950,28.000,26.710,100398.850
07:40:00,85.789,28.000,26.600,100405.737
07:50:00,85.600,28.000,26.525,100411.150
08:00:00,85.737,28.000,26.500,100414.158
08:10:00,85.250,28.000,26.505,100415.550
08:20:00,85.895,27.368,26.584,100415.421
08:30:00,86.000,27.368,26.684,100421.421
08:40:00,86.000,28.000,26.945,100422.500
08:50:00,86.000,28.000,27.047,100429.263
09:00:00,86.000,28.000,27.140,100428.100
09:10:00,86.000,28.000,27.168,100430.842
09:20:00,86.000,28.000,27.200,100442.474
09:30:00,86.000,28.000,27.240,100444.550
09:40:00,86.000,28.000,27.421,100441.842
09:50:00,85.950,28.050,27.635,100440.150
10:00:00,85.947,28.053,27.800,100431.368
10:10:00,86.000,28.000,27.875,100416.650
10:20:00,85.684,28.158,27.942,100404.579
10:30:00,84.250,28.750,28.035,100395.900
10:40:00,84.263,28.789,28.089,100384.895
10:50:00,84.105,29.000,28.189,100377.421
11:00:00,84.700,29.000,28.295,100366.450
11:10:00,84.053,29.000,28.426,100358.737
11:20:00,84.200,29.850,28.545,100346.600
11:30:00,84.053,29.842,28.500,100334.000
11:40:00,84.105,30.000,28.511,100321.842
11:50:00,84.450,30.000,28.575,100307.550
12:00:00,84.158,30.000,28.689,100294.737
12:10:00,84.100,29.950,28.905,100283.400
12:20:00,84.053,30.000,29.153,100267.789
12:30:00,84.450,30.000,29.305,100264.100
12:40:00,85.000,30.000,29.437,100256.421
12:50:00,84.850,30.000,29.565,100251.850
13:00:00,84.632,30.000,29.616,100226.263
13:10:00,84.895,30.000,29.684,100213.579
13:20:00,85.000,30.000,29.800,100200.300
13:30:00,84.895,30.105,29.884,100190.211
13:40:00,84.100,30.850,29.835,100173.250
13:50:00,84.263,30.737,29.695,100151.000
14:00:00,84.474,30.526,29.642,100135.368
14:10:00,84.550,30.450,29.585,100115.250
14:20:00,84.684,30.316,29.595,100098.105
14:30:00,84.650,30.350,29.615,100077.450
14:40:00,84.684,30.263,29.553,100065.211
14:50:00,84.700,30.300,29.675,100057.900
15:00:00,84.684,30.316,29.605,100043.842
15:10:00,84.550,30.450,29.775,100029.550
15:20:00,84.263,30.684,29.784,100022.000
15:30:00,84.737,30.263,29.821,100020.737
15:40:00,84.700,30.300,29.730,100029.950
15:50:00,84.842,30.158,29.579,100029.842
16:00:00,84.900,30.000,29.600,100033.550
16:10:00,84.737,30.053,29.763,100043.842
16:20:00,84.750,30.050,29.930,100048.950
16:30:00,84.158,30.316,30.032,100052.947
16:40:00,84.158,30.474,30.053,100062.368
16:50:00,83.550,30.650,30.105,100065.450
17:00:00,83.211,30.895,30.184,100074.211
17:10:00,83.600,30.900,30.195,100084.450
17:20:00,83.211,31.000,30.189,100094.579
17:30:00,83.211,31.000,30.211,100103.263
17:40:00,83.600,31.000,30.200,100110.600
17:50:00,83.895,31.000,30.195,100125.105
18:00:00,83.850,31.000,30.210,100129.050
18:10:00,83.579,30.947,30.200,100135.211
18:20:00,84.000,31.000,30.210,100140.750
18:30:00,83.895,31.000,30.216,100147.368
18:40:00,83.158,31.000,30.142,100152.211
18:50:00,83.850,30.950,30.030,100173.100
19:00:00,83.526,31.000,29.979,100192.895
19:10:00,83.900,31.000,29.900,100205.100
19:20:00,83.789,31.000,29.895,100222.105
19:30:00,84.050,30.950,29.830,100235.300
19:40:00,84.286,30.714,29.829,100246.000
