Time,Humidity,Temperature,BMP_temperature,Pressure
00:00:00,78.000,28.000,27.200,100444.950
00:10:00,78.050,28.000,27.190,100426.750
00:20:00,78.316,28.000,27.111,100418.053
00:30:00,76.700,28.000,27.100,100403.500
00:40:00,75.421,28.000,27.100,100392.789
00:50:00,73.800,28.000,27.100,100383.000
01:00:00,75.263,28.000,27.068,100369.895
01:10:00,74.750,28.000,27.040,100371.300
01:20:00,76.368,28.000,27.000,100365.526
01:30:00,73.950,28.000,27.000,100356.850
01:40:00,73.737,28.000,27.000,100353.000
01:50:00,76.105,28.000,27.000,100355.947
02:00:00,76.526,28.000,27.000,100350.737
02:10:00,78.450,28.000,26.975,100343.450
02:20:00,78.579,28.000,26.926,100337.211
02:30:00,78.550,28.000,26.905,100328.050
02:40:00,78.316,28.000,26.900,100320.421
02:50:00,78.842,28.000,26.900,100308.105
03:00:00,79.632,28.000,26.884,100305.000
03:10:00,79.550,28.000,26.825,100307.100
03:20:00,79.263,28.000,26.800,100309.789
03:30:00,79.200,28.000,26.800,100304.700
03:40:00,79.211,28.000,26.774,100302.000
03:50:00,80.000,28.000,26.720,100302.200
04:00:00,79.947,28.000,26.700,100302.842
04:10:00,80.000,28.000,26.695,100298.600
04:20:00,79.789,28.000,26.684,100293.526
04:30:00,79.800,28.000,26.645,100294.200
04:40:00,79.421,28.000,26.600,100295.368
04:50:00,79.250,28.000,26.600,100298.900
05:00:00,78.316,28.000,26.542,100306.211
05:10:00,79.500,28.000,26.505,100323.450
05:20:00,80.000,28.000,26.500,100349.684
05:30:00,78.632,28.000,26.463,100361.842
05:40:00,77.850,28.000,26.400,100367.600
05:50:00,80.000,28.000,26.400,100375.105
06:00:00,80.000,28.000,26.400,100377.600
06:10:00,79.789,28.000,26.400,100400.474
06:20:00,80.000,28.000,26.380,100413.050
06:30:00,80.000,28.000,26.332,100416.526
06:40:00,80.000,28.000,26.360,100426.850
06:50:00,80.263,27.105,26.542,100441.000
07:00:00,80.650,27.800,26.730,100453.700
07:10:00,81.000,28.000,26.779,100451.579
07:20:00,80.650,28.000,26.805,100444.250
07:30:00,80.684,28.000,26.905,100440.789
07:40:00,81.000,28.000,26.900,100455.500
07:50:00,81.000,28.000,26.947,100476.895
08:00:00,81.000,28.000,26.945,100483.050
08:10:00,81.000,28.000,26.916,100484.632
08:20:00,80.950,28.000,26.900,100486.850
08:30:00,81.000,28.000,26.900,100493.579
08:40:00,81.000,28.000,26.975,100501.650
08:50:00,81.684,28.000,26.900,100501.368
09:00:00,82.000,28.000,26.995,100494.200
09:10:00,82.000,28.000,27.021,100493.316
09:20:00,82.000,28.000,27.100,100486.750
09:30:00,82.000,28.000,27.168,100484.526
09:40:00,82.000,28.000,27.289,100477.737
09:50:00,82.000,28.000,27.455,100483.200
10:00:00,82.000,28.000,27.558,100487.316
10:10:00,82.000,28.000,27.635,100479.700
10:20:00,82.000,28.000,27.726,100464.000
10:30:00,81.700,28.300,27.875,100452.700
10:40:00,81.789,28.211,27.837,100437.368
10:50:00,81.500,28.500,27.890,100419.350
11:00:00,81.105,28.895,27.926,100398.421
11:10:00,81.050,28.950,27.965,100386.950
11:20:00,81.211,28.789,28.016,100373.263
11:30:00,81.158,28.842,28.068,100363.211
11:40:00,81.000,29.000,28.105,100342.450
11:50:00,81.000,29.000,28.221,100322.105
12:00:00,81.000,29.000,28.210,100301.150
12:10:00,81.000,29.000,28.305,100283.105
12:20:00,81.000,29.000,28.305,100272.350
12:30:00,80.947,29.000,28.211,100259.474
12:40:00,80.350,29.000,28.200,100255.900
12:50:00,80.842,29.053,28.200,100247.316
13:00:00,80.368,29.000,28.195,100233.211
13:10:00,80.150,29.000,28.100,100210.150
13:20:00,80.895,29.000,28.089,100207.474
13:30:00,81.050,28.950,28.100,100166.400
13:40:00,81.000,29.000,28.189,100142.526
13:50:00,81.250,29.000,28.275,100120.050
14:00:00,81.737,29.000,28.353,100110.632
14:10:00,82.000,29.000,28.295,100101.053
14:20:00,81.588,29.000,28.406,100089.118
14:30:00,81.900,29.250,28.620,100086.600
14:40:00,82.000,29.842,28.721,100078.632
14:50:00,82.000,29.850,28.625,100073.450
15:00:00,81.947,29.579,28.642,100071.842
15:10:00,81.900,29.600,28.650,100068.100
15:20:00,81.579,29.895,28.579,100062.579
15:30:00,81.600,29.850,28.655,100055.500
15:40:00,82.000,29.789,28.558,100050.895
15:50:00,82.000,29.850,28.595,100045.850
16:00:00,82.000,29.684,28.600,100055.105
16:10:00,82.000,29.579,28.621,100059.421
16:20:00,81.950,29.750,28.630,100068.850
16:30:00,83.000,29.474,28.658,100073.263
16:40:00,83.300,29.750,28.610,100083.750
16:50:00,82.737,29.842,28.589,100097.421
17:00:00,82.000,30.000,28.547,100113.000
17:10:00,82.000,29.900,28.450,100123.950
17:20:00,82.000,29.684,28.305,100131.737
17:30:00,82.000,29.526,28.295,100139.421
17:40:00,82.000,29.200,28.280,100144.600
17:50:00,82.000,29.000,28.195,100142.368
18:00:00,82.263,29.053,28.258,100146.789
18:10:00,83.000,29.000,28.335,100157.150
18:20:00,82.941,29.059,28.424,100168.235
18:30:00,83.333,29.139,28.389,100178.944
18:42:00,83.450,29.250,28.325,100196.600
18:52:00,84.000,29.105,28.379,100218.053
19:02:00,84.000,29.200,28.435,100236.850
19:12:00,84.000,29.263,28.400,100240.263
19:22:00,84.000,29.600,28.330,100246.800
19:32:00,84.000,30.000,28.268,100261.053
19:42:00,84.000,30.000,28.200,100270.842
19:52:00,83.950,29.800,28.070,100283.150
20:02:00,84.000,29.632,28.000,100289.579
20:12:00,84.000,29.500,28.000,100301.200
20:22:00,84.000,29.368,27.968,100308.947
20:32:00,84.000,29.450,27.900,100322.100
20:42:00,84.000,29.000,27.847,100328.211
20:52:00,84.000,29.000,27.925,100334.850
21:02:00,84.000,29.000,27.895,100330.000
21:12:00,84.000,29.000,27.960,100333.450
21:22:00,84.000,29.000,27.995,100328.895
21:32:00,84.050,28.950,27.985,100337.300
21:42:00,84.000,29.000,28.011,100337.632
21:52:00,84.000,29.000,28.115,100338.450
22:02:00,84.000,29.000,28.153,100338.842
22:12:00,84.000,29.000,28.155,100345.450
22:22:00,84.000,29.000,28.111,100353.789
22:32:00,84.000,29.000,28.026,100369.105
22:42:00,84.000,29.250,27.860,100377.000
22:52:00,84.000,29.526,27.747,100379.211
23:02:00,84.000,29.350,27.705,100374.500
23:12:00,84.000,29.158,27.684,100370.895
23:22:00,84.000,29.050,27.605,100367.800
23:32:00,84.000,29.000,27.532,100366.474
23:42:00,84.500,28.500,27.425,100356.000
23:52:00,85.000,28.000,27.414,100358.643
